Fecha, Voltaje, Corriente, Potencia, Energía, Frecuencia, Factor de Potencia 
2023/7/16 (Domingo) 15:25:0, 121.70, 33.63, 3873.60, 1302.55, 60.00, 0.95
2023/7/16 (Domingo) 15:35:0, 121.10, 33.75, 3800.80, 1303.18, 60.00, 0.93
2023/7/16 (Domingo) 15:40:0, 122.10, 32.45, 3690.70, 1303.49, 59.90, 0.93
2023/7/16 (Domingo) 15:45:0, 121.70, 33.31, 3770.90, 1303.81, 60.00, 0.93
2023/7/16 (Domingo) 15:50:0, 122.30, 32.28, 3667.40, 1304.12, 59.90, 0.93
2023/7/16 (Domingo) 15:55:0, 121.10, 36.78, 4132.90, 1304.44, 59.90, 0.93
2023/7/16 (Domingo) 16:0:0, 121.10, 37.69, 4224.90, 1304.78, 60.00, 0.93
2023/7/16 (Domingo) 16:5:0, 120.90, 36.77, 4117.80, 1305.14, 60.00, 0.93
2023/7/16 (Domingo) 16:10:0, 120.80, 35.33, 3964.40, 1305.47, 59.90, 0.93
2023/7/16 (Domingo) 16:15:0, 121.80, 34.63, 3910.70, 1305.80, 60.00, 0.93
2023/7/16 (Domingo) 16:20:0, 120.70, 41.65, 4739.60, 1306.13, 59.90, 0.94
2023/7/16 (Domingo) 16:30:0, 120.10, 38.34, 4276.40, 1306.87, 60.00, 0.93
2023/7/16 (Domingo) 16:35:0, 121.40, 35.31, 3985.10, 1307.22, 60.00, 0.93
2023/7/16 (Domingo) 16:40:0, 120.90, 35.58, 4009.60, 1307.56, 60.00, 0.93
2023/7/16 (Domingo) 16:45:0, 121.00, 34.47, 3883.10, 1307.89, 60.00, 0.93
2023/7/16 (Domingo) 16:50:0, 120.70, 36.12, 4058.50, 1308.22, 60.00, 0.93
2023/7/16 (Domingo) 16:55:0, 120.60, 39.34, 4444.70, 1308.57, 60.00, 0.94
2023/7/16 (Domingo) 17:0:0, 119.90, 41.60, 4712.70, 1308.93, 59.90, 0.94
2023/7/16 (Domingo) 17:5:0, 121.00, 34.75, 3915.90, 1309.28, 60.00, 0.93
2023/7/16 (Domingo) 17:10:0, 120.90, 35.04, 3933.70, 1309.61, 59.90, 0.93
2023/7/16 (Domingo) 17:15:0, 120.80, 34.41, 3873.80, 1309.93, 60.00, 0.93
2023/7/16 (Domingo) 17:20:0, 121.50, 33.65, 3822.30, 1310.25, 60.00, 0.93
2023/7/16 (Domingo) 17:25:0, 120.70, 42.01, 4833.50, 1310.58, 60.00, 0.95
2023/7/16 (Domingo) 17:30:0, 122.00, 36.01, 4079.10, 1310.93, 60.00, 0.93
2023/7/16 (Domingo) 17:35:0, 122.00, 32.84, 3752.10, 1311.26, 60.00, 0.94
2023/7/16 (Domingo) 17:40:0, 121.50, 35.11, 3990.40, 1311.58, 60.00, 0.94
2023/7/16 (Domingo) 17:45:0, 121.40, 34.99, 3978.30, 1311.91, 59.90, 0.94
2023/7/16 (Domingo) 17:50:0, 121.50, 35.55, 4029.40, 1312.23, 60.00, 0.93
2023/7/16 (Domingo) 17:55:0, 121.90, 32.34, 3558.90, 1312.56, 60.00, 0.90
2023/7/16 (Domingo) 18:0:0, 121.70, 33.99, 3766.30, 1312.86, 60.00, 0.91
2023/7/16 (Domingo) 18:5:0, 122.80, 31.22, 3484.20, 1313.16, 60.00, 0.91
2023/7/16 (Domingo) 18:10:0, 123.10, 29.43, 3278.10, 1313.45, 60.00, 0.90
2023/7/16 (Domingo) 18:15:0, 122.60, 29.99, 3326.70, 1313.72, 60.00, 0.90
2023/7/16 (Domingo) 18:25:0, 122.10, 30.53, 3371.10, 1314.26, 60.00, 0.90
2023/7/16 (Domingo) 18:30:0, 122.50, 30.44, 3353.30, 1314.54, 60.00, 0.90
2023/7/16 (Domingo) 18:35:0, 123.10, 29.50, 3292.70, 1314.82, 60.00, 0.91
2023/7/16 (Domingo) 18:40:0, 123.10, 29.08, 3241.70, 1315.10, 60.00, 0.91
2023/7/16 (Domingo) 18:45:0, 123.80, 27.65, 3101.60, 1315.36, 60.00, 0.91
2023/7/16 (Domingo) 18:50:0, 123.60, 30.83, 3432.20, 1315.62, 59.90, 0.90
2023/7/16 (Domingo) 19:0:0, 123.70, 22.53, 2462.80, 1316.14, 60.00, 0.88
2023/7/16 (Domingo) 19:5:0, 124.00, 20.49, 2289.70, 1316.34, 59.90, 0.90
2023/7/16 (Domingo) 19:10:0, 123.70, 19.61, 2185.90, 1316.53, 59.90, 0.90
2023/7/16 (Domingo) 19:15:0, 124.20, 19.32, 2159.30, 1316.71, 60.00, 0.90
2023/7/16 (Domingo) 19:20:0, 124.30, 19.18, 2151.10, 1316.90, 60.00, 0.90
2023/7/16 (Domingo) 19:30:0, 123.60, 22.31, 2394.90, 1317.30, 60.00, 0.87
2023/7/16 (Domingo) 19:35:0, 124.30, 19.92, 2213.40, 1317.49, 60.00, 0.89
2023/7/16 (Domingo) 19:40:0, 122.80, 35.67, 4275.10, 1317.77, 60.00, 0.98
2023/7/16 (Domingo) 19:45:0, 122.90, 35.63, 4272.80, 1318.13, 59.90, 0.98
2023/7/16 (Domingo) 19:50:0, 122.60, 37.20, 4434.10, 1318.49, 60.00, 0.97
2023/7/16 (Domingo) 19:55:0, 125.00, 21.14, 2349.40, 1318.79, 59.90, 0.89
2023/7/16 (Domingo) 20:0:0, 126.70, 21.83, 2441.70, 1318.99, 60.00, 0.88
2023/7/16 (Domingo) 20:5:0, 124.50, 20.40, 2310.40, 1319.19, 60.00, 0.91
2023/7/16 (Domingo) 20:10:0, 125.20, 19.98, 2275.40, 1319.38, 60.00, 0.91
2023/7/16 (Domingo) 20:15:0, 124.70, 19.42, 2210.80, 1319.57, 59.90, 0.91
2023/7/16 (Domingo) 20:20:0, 123.60, 21.01, 2353.10, 1319.76, 59.90, 0.91
2023/7/16 (Domingo) 20:25:0, 122.50, 23.10, 2541.30, 1319.96, 60.00, 0.90
2023/7/16 (Domingo) 20:30:0, 121.80, 23.32, 2502.70, 1320.17, 60.00, 0.88
2023/7/16 (Domingo) 20:35:0, 121.70, 20.45, 2268.00, 1320.36, 60.00, 0.91
2023/7/16 (Domingo) 20:40:0, 121.70, 19.80, 2200.20, 1320.55, 60.00, 0.91
2023/7/16 (Domingo) 20:45:0, 122.00, 19.70, 2194.50, 1320.74, 59.90, 0.91
2023/7/16 (Domingo) 20:50:0, 121.80, 20.47, 2274.80, 1320.92, 59.90, 0.91
2023/7/16 (Domingo) 20:55:0, 121.70, 20.43, 2248.90, 1321.12, 60.00, 0.90
2023/7/16 (Domingo) 21:0:0, 120.20, 37.48, 4384.40, 1321.38, 60.00, 0.97
2023/7/16 (Domingo) 21:5:0, 120.50, 35.75, 4217.00, 1321.73, 59.90, 0.98
2023/7/16 (Domingo) 21:10:0, 122.90, 19.13, 2151.80, 1321.97, 60.00, 0.92
2023/7/16 (Domingo) 21:15:0, 122.60, 20.09, 2256.30, 1322.15, 59.90, 0.92
2023/7/16 (Domingo) 21:20:0, 122.60, 20.02, 2244.60, 1322.33, 60.00, 0.91
2023/7/16 (Domingo) 21:25:0, 122.20, 21.44, 2347.10, 1322.53, 59.90, 0.90
2023/7/16 (Domingo) 21:35:0, 123.10, 18.83, 2121.90, 1322.90, 60.00, 0.92
2023/7/16 (Domingo) 21:40:0, 123.10, 18.72, 2110.50, 1323.08, 59.90, 0.92
2023/7/16 (Domingo) 21:45:0, 122.90, 19.84, 2226.80, 1323.26, 60.00, 0.91
2023/7/16 (Domingo) 21:50:0, 122.30, 21.18, 2390.30, 1323.45, 60.00, 0.92
2023/7/16 (Domingo) 21:55:0, 122.40, 23.32, 2585.60, 1323.66, 60.00, 0.91
2023/7/16 (Domingo) 22:0:0, 122.60, 23.21, 2574.70, 1323.88, 60.00, 0.90
2023/7/16 (Domingo) 22:5:0, 122.90, 21.73, 2454.10, 1324.09, 60.00, 0.92
2023/7/16 (Domingo) 22:10:0, 123.20, 21.98, 2482.30, 1324.29, 60.00, 0.92
2023/7/16 (Domingo) 22:15:0, 123.40, 21.72, 2461.90, 1324.50, 60.00, 0.92
2023/7/16 (Domingo) 22:20:0, 123.10, 22.72, 2562.20, 1324.70, 60.00, 0.92
2023/7/16 (Domingo) 22:30:0, 123.30, 23.07, 2509.30, 1325.14, 60.00, 0.88
2023/7/16 (Domingo) 22:35:0, 123.40, 21.53, 2450.30, 1325.34, 59.90, 0.92
2023/7/16 (Domingo) 22:40:0, 123.60, 22.00, 2500.80, 1325.55, 59.90, 0.92
2023/7/16 (Domingo) 22:45:0, 123.50, 22.50, 2582.10, 1325.76, 60.00, 0.93
2023/7/16 (Domingo) 22:50:0, 123.40, 22.36, 2564.70, 1325.97, 59.90, 0.93
2023/7/16 (Domingo) 22:55:0, 123.50, 24.67, 2768.80, 1326.20, 60.00, 0.91
2023/7/16 (Domingo) 23:0:0, 123.50, 24.45, 2755.20, 1326.43, 60.00, 0.91
2023/7/16 (Domingo) 23:5:0, 123.80, 22.61, 2601.00, 1326.65, 60.00, 0.93
2023/7/16 (Domingo) 23:10:0, 124.20, 23.35, 2678.80, 1326.87, 60.00, 0.92
2023/7/16 (Domingo) 23:15:0, 124.30, 22.83, 2623.80, 1327.09, 60.00, 0.92
2023/7/16 (Domingo) 23:20:0, 124.30, 23.13, 2655.40, 1327.31, 59.90, 0.92
2023/7/16 (Domingo) 23:25:0, 124.00, 24.96, 2764.70, 1327.55, 60.00, 0.89
2023/7/16 (Domingo) 23:30:0, 124.40, 20.79, 2299.40, 1327.77, 59.90, 0.89
2023/7/16 (Domingo) 23:35:0, 125.70, 17.22, 1993.90, 1327.94, 60.00, 0.92
2023/7/16 (Domingo) 23:40:0, 126.30, 12.35, 1439.90, 1328.09, 60.00, 0.92
2023/7/16 (Domingo) 23:45:0, 126.90, 12.28, 1435.10, 1328.22, 60.00, 0.92
2023/7/16 (Domingo) 23:50:0, 126.40, 14.31, 1583.20, 1328.34, 60.00, 0.88
2023/7/16 (Domingo) 23:55:0, 126.50, 13.55, 1436.10, 1328.46, 60.00, 0.84
2023/7/17 (Lunes) 0:0:0, 126.50, 13.86, 1469.50, 1328.59, 60.00, 0.84
2023/7/17 (Lunes) 0:5:0, 126.70, 11.36, 1276.60, 1328.69, 60.00, 0.89
2023/7/17 (Lunes) 0:10:0, 126.60, 11.33, 1273.20, 1328.80, 59.90, 0.89
2023/7/17 (Lunes) 0:15:0, 126.70, 11.54, 1290.00, 1328.91, 60.00, 0.88
2023/7/17 (Lunes) 0:20:0, 126.60, 16.55, 1730.20, 1329.02, 60.00, 0.83
2023/7/17 (Lunes) 0:25:0, 124.20, 15.78, 1613.40, 1329.16, 59.90, 0.82
2023/7/17 (Lunes) 0:30:0, 124.10, 15.73, 1609.50, 1329.29, 60.00, 0.82
2023/7/17 (Lunes) 0:35:0, 124.90, 10.94, 1218.60, 1329.40, 60.00, 0.89
2023/7/17 (Lunes) 0:40:0, 124.70, 11.04, 1229.60, 1329.50, 60.00, 0.89
2023/7/17 (Lunes) 0:45:0, 125.10, 11.91, 1320.80, 1329.61, 60.00, 0.89
2023/7/17 (Lunes) 0:50:0, 124.40, 13.84, 1474.10, 1329.72, 60.00, 0.86
2023/7/17 (Lunes) 0:55:0, 124.60, 13.38, 1412.30, 1329.84, 60.00, 0.85
2023/7/17 (Lunes) 1:0:0, 125.60, 12.29, 1330.80, 1329.95, 60.00, 0.86
2023/7/17 (Lunes) 1:5:0, 125.20, 9.95, 1131.00, 1330.04, 60.00, 0.91
2023/7/17 (Lunes) 1:10:0, 125.80, 9.83, 1122.70, 1330.14, 60.00, 0.91
2023/7/17 (Lunes) 1:15:0, 125.90, 10.07, 1148.80, 1330.23, 60.00, 0.91
2023/7/17 (Lunes) 1:20:0, 126.50, 11.98, 1323.40, 1330.33, 60.00, 0.87
2023/7/17 (Lunes) 1:25:0, 125.20, 14.07, 1482.70, 1330.45, 60.00, 0.84
2023/7/17 (Lunes) 1:30:0, 125.70, 11.67, 1306.60, 1330.57, 60.00, 0.89
2023/7/17 (Lunes) 1:35:0, 125.30, 10.03, 1139.30, 1330.68, 60.00, 0.91
2023/7/17 (Lunes) 1:40:0, 125.50, 9.55, 1087.70, 1330.77, 59.90, 0.91
2023/7/17 (Lunes) 1:45:0, 124.70, 11.45, 1280.90, 1330.88, 59.90, 0.90
2023/7/17 (Lunes) 1:50:0, 124.30, 13.84, 1473.00, 1330.99, 59.80, 0.86
2023/7/17 (Lunes) 2:0:0, 125.40, 11.13, 1247.20, 1331.22, 60.00, 0.89
2023/7/17 (Lunes) 2:5:0, 125.20, 11.28, 1260.30, 1331.33, 59.90, 0.89
2023/7/17 (Lunes) 2:10:0, 125.30, 11.27, 1260.80, 1331.44, 60.00, 0.89
2023/7/17 (Lunes) 2:15:0, 124.60, 11.04, 1231.70, 1331.54, 60.00, 0.90
2023/7/17 (Lunes) 2:20:0, 124.80, 14.05, 1487.60, 1331.65, 60.00, 0.85
2023/7/17 (Lunes) 2:25:0, 124.30, 15.23, 1573.00, 1331.77, 59.90, 0.83
2023/7/17 (Lunes) 2:30:0, 124.90, 12.68, 1386.80, 1331.90, 60.00, 0.88
2023/7/17 (Lunes) 2:35:0, 124.90, 11.88, 1310.00, 1332.02, 60.00, 0.88
2023/7/17 (Lunes) 2:40:0, 125.00, 11.35, 1257.50, 1332.12, 60.00, 0.89
2023/7/17 (Lunes) 2:45:0, 124.70, 11.63, 1286.00, 1332.23, 59.80, 0.89
2023/7/17 (Lunes) 2:50:0, 124.30, 14.17, 1492.90, 1332.34, 59.90, 0.85
2023/7/17 (Lunes) 3:0:0, 125.40, 10.86, 1218.00, 1332.57, 60.00, 0.89
2023/7/17 (Lunes) 3:5:0, 125.10, 11.14, 1244.30, 1332.68, 59.90, 0.89
2023/7/17 (Lunes) 3:10:0, 125.10, 11.17, 1250.20, 1332.78, 60.00, 0.89
2023/7/17 (Lunes) 3:15:0, 125.00, 10.90, 1218.20, 1332.89, 60.00, 0.89
2023/7/17 (Lunes) 3:20:0, 124.80, 13.32, 1415.10, 1332.99, 60.00, 0.85
2023/7/17 (Lunes) 3:25:0, 125.20, 13.39, 1413.40, 1333.11, 60.00, 0.84
2023/7/17 (Lunes) 3:30:0, 125.40, 12.70, 1396.50, 1333.23, 59.90, 0.88
2023/7/17 (Lunes) 3:35:0, 125.10, 12.33, 1354.40, 1333.35, 60.00, 0.88
2023/7/17 (Lunes) 3:40:0, 125.20, 10.89, 1219.30, 1333.46, 60.00, 0.89
2023/7/17 (Lunes) 3:45:0, 125.40, 11.10, 1241.60, 1333.56, 60.00, 0.89
2023/7/17 (Lunes) 3:50:0, 125.10, 14.16, 1492.60, 1333.68, 60.00, 0.84
2023/7/17 (Lunes) 3:55:0, 125.20, 14.29, 1484.90, 1333.80, 59.90, 0.83
2023/7/17 (Lunes) 4:0:0, 125.70, 11.35, 1264.70, 1333.92, 60.00, 0.89
2023/7/17 (Lunes) 4:5:0, 125.70, 11.13, 1249.50, 1334.02, 59.90, 0.89
2023/7/17 (Lunes) 4:10:0, 125.60, 11.77, 1313.90, 1334.13, 60.00, 0.89
2023/7/17 (Lunes) 4:15:0, 125.50, 10.83, 1215.00, 1334.23, 59.90, 0.89
2023/7/17 (Lunes) 4:20:0, 125.00, 13.26, 1407.60, 1334.34, 60.00, 0.85
2023/7/17 (Lunes) 4:25:0, 124.70, 13.35, 1406.00, 1334.46, 59.90, 0.84
2023/7/17 (Lunes) 4:30:0, 125.60, 11.03, 1236.90, 1334.57, 60.00, 0.89
2023/7/17 (Lunes) 4:35:0, 125.80, 12.30, 1355.00, 1334.68, 60.00, 0.88
2023/7/17 (Lunes) 4:40:0, 125.70, 12.30, 1354.70, 1334.80, 60.00, 0.88
2023/7/17 (Lunes) 4:45:0, 125.80, 11.11, 1250.50, 1334.91, 59.90, 0.89
2023/7/17 (Lunes) 4:50:0, 125.30, 13.47, 1427.00, 1335.02, 59.90, 0.85
2023/7/17 (Lunes) 4:55:0, 125.50, 13.15, 1390.20, 1335.14, 60.00, 0.84
2023/7/17 (Lunes) 5:0:0, 126.10, 9.57, 1094.20, 1335.24, 60.00, 0.91
2023/7/17 (Lunes) 5:5:0, 126.20, 10.23, 1168.60, 1335.34, 59.90, 0.91
2023/7/17 (Lunes) 5:10:0, 126.30, 10.32, 1177.50, 1335.44, 59.90, 0.90
2023/7/17 (Lunes) 5:15:0, 126.30, 10.45, 1188.70, 1335.53, 59.90, 0.90
2023/7/17 (Lunes) 5:20:0, 126.00, 11.63, 1271.50, 1335.64, 59.90, 0.87
2023/7/17 (Lunes) 5:25:0, 126.10, 11.89, 1296.60, 1335.74, 60.00, 0.86
2023/7/17 (Lunes) 5:30:0, 126.10, 10.30, 1177.00, 1335.85, 59.90, 0.91
2023/7/17 (Lunes) 5:35:0, 126.40, 9.52, 1093.00, 1335.94, 59.90, 0.91
2023/7/17 (Lunes) 5:40:0, 125.90, 13.09, 1454.80, 1336.04, 60.00, 0.88
2023/7/17 (Lunes) 5:45:0, 125.90, 12.72, 1401.80, 1336.16, 59.90, 0.88
2023/7/17 (Lunes) 5:50:0, 126.10, 13.43, 1420.40, 1336.28, 60.00, 0.84
2023/7/17 (Lunes) 5:55:0, 125.40, 13.16, 1389.70, 1336.40, 59.90, 0.84
2023/7/17 (Lunes) 6:0:0, 126.20, 11.23, 1266.60, 1336.51, 60.00, 0.89
2023/7/17 (Lunes) 6:5:0, 125.80, 11.12, 1248.40, 1336.62, 59.90, 0.89
2023/7/17 (Lunes) 6:10:0, 126.00, 11.21, 1259.90, 1336.72, 59.90, 0.89
2023/7/17 (Lunes) 6:15:0, 126.10, 10.83, 1219.00, 1336.82, 60.00, 0.89
2023/7/17 (Lunes) 6:20:0, 125.20, 13.93, 1452.10, 1336.94, 60.00, 0.83
2023/7/17 (Lunes) 6:25:0, 125.20, 13.98, 1461.30, 1337.06, 60.00, 0.84
2023/7/17 (Lunes) 6:30:0, 125.80, 11.32, 1260.30, 1337.18, 59.90, 0.89
2023/7/17 (Lunes) 6:35:0, 125.40, 11.25, 1252.90, 1337.28, 60.00, 0.89
2023/7/17 (Lunes) 6:40:0, 125.60, 11.09, 1243.80, 1337.38, 59.90, 0.89
2023/7/17 (Lunes) 6:45:0, 125.40, 12.71, 1397.20, 1337.49, 60.00, 0.88
2023/7/17 (Lunes) 6:50:0, 125.10, 15.39, 1577.60, 1337.62, 59.90, 0.82
2023/7/17 (Lunes) 6:55:0, 125.20, 13.17, 1390.70, 1337.75, 60.00, 0.84
2023/7/17 (Lunes) 7:5:0, 125.20, 11.08, 1238.20, 1337.96, 60.00, 0.89
2023/7/17 (Lunes) 7:10:0, 125.00, 10.91, 1220.60, 1338.07, 60.00, 0.89
2023/7/17 (Lunes) 7:15:0, 125.00, 10.84, 1210.30, 1338.17, 59.90, 0.89
2023/7/17 (Lunes) 7:20:0, 124.20, 13.32, 1398.10, 1338.28, 60.00, 0.85
2023/7/17 (Lunes) 7:25:0, 124.40, 13.33, 1402.60, 1338.40, 60.00, 0.85
2023/7/17 (Lunes) 7:30:0, 124.50, 10.82, 1203.90, 1338.51, 59.90, 0.89
2023/7/17 (Lunes) 7:35:0, 124.60, 9.82, 1113.60, 1338.61, 60.00, 0.91
2023/7/17 (Lunes) 7:40:0, 124.60, 10.65, 1195.00, 1338.70, 59.80, 0.90
2023/7/17 (Lunes) 7:45:0, 124.70, 10.39, 1191.40, 1338.80, 59.90, 0.92
2023/7/17 (Lunes) 7:50:0, 123.70, 13.63, 1464.30, 1338.91, 59.80, 0.87
2023/7/17 (Lunes) 7:55:0, 123.60, 14.51, 1547.80, 1339.04, 59.90, 0.86
2023/7/17 (Lunes) 8:5:0, 124.80, 8.01, 896.10, 1339.22, 59.90, 0.90
2023/7/17 (Lunes) 8:10:0, 124.80, 10.28, 1160.50, 1339.30, 59.90, 0.90
2023/7/17 (Lunes) 8:15:0, 125.10, 12.09, 1373.80, 1339.40, 59.90, 0.91
2023/7/17 (Lunes) 8:20:0, 124.80, 14.49, 1570.10, 1339.53, 60.00, 0.87
2023/7/17 (Lunes) 8:25:0, 124.80, 14.18, 1538.20, 1339.66, 59.90, 0.87
2023/7/17 (Lunes) 8:30:0, 124.80, 12.50, 1413.70, 1339.78, 59.90, 0.91
2023/7/17 (Lunes) 8:35:0, 124.50, 14.40, 1626.80, 1339.91, 60.00, 0.91
2023/7/17 (Lunes) 8:40:0, 124.10, 14.43, 1627.50, 1340.05, 60.00, 0.91
2023/7/17 (Lunes) 8:45:0, 124.00, 14.26, 1569.30, 1340.19, 60.00, 0.89
2023/7/17 (Lunes) 8:50:0, 123.60, 15.82, 1680.20, 1340.33, 59.90, 0.86
2023/7/17 (Lunes) 8:55:0, 123.00, 18.05, 1903.60, 1340.47, 60.00, 0.86
2023/7/17 (Lunes) 9:0:0, 124.60, 16.05, 1750.00, 1340.62, 59.90, 0.88
2023/7/17 (Lunes) 9:5:0, 124.90, 15.14, 1655.40, 1340.76, 59.90, 0.88
2023/7/17 (Lunes) 9:10:0, 123.90, 14.05, 1542.70, 1340.89, 60.00, 0.89
2023/7/17 (Lunes) 9:15:0, 123.30, 14.48, 1578.80, 1341.02, 60.00, 0.88
2023/7/17 (Lunes) 9:20:0, 123.40, 15.67, 1648.60, 1341.16, 60.00, 0.85
2023/7/17 (Lunes) 9:25:0, 122.30, 15.65, 1644.50, 1341.30, 59.90, 0.86
2023/7/17 (Lunes) 9:30:0, 123.20, 14.35, 1558.70, 1341.43, 60.00, 0.88
2023/7/17 (Lunes) 9:35:0, 123.50, 14.41, 1562.30, 1341.57, 59.90, 0.88
2023/7/17 (Lunes) 9:40:0, 122.40, 14.32, 1544.20, 1341.70, 60.00, 0.88
2023/7/17 (Lunes) 9:45:0, 124.50, 18.36, 2033.20, 1341.87, 60.00, 0.89
2023/7/17 (Lunes) 9:50:0, 123.70, 25.21, 2842.20, 1342.07, 60.00, 0.91
2023/7/17 (Lunes) 9:55:0, 124.00, 23.04, 2527.40, 1342.29, 60.00, 0.88
2023/7/17 (Lunes) 10:5:0, 122.30, 30.69, 3364.20, 1342.79, 60.00, 0.90
2023/7/17 (Lunes) 10:10:0, 122.00, 31.54, 3476.10, 1343.07, 60.00, 0.90
2023/7/17 (Lunes) 10:15:0, 120.20, 41.93, 4676.70, 1343.44, 59.90, 0.93
2023/7/17 (Lunes) 10:20:0, 117.00, 50.17, 5563.70, 1343.87, 60.00, 0.95
2023/7/17 (Lunes) 10:25:0, 122.70, 43.14, 4818.10, 1344.31, 60.00, 0.91
2023/7/17 (Lunes) 10:30:0, 123.00, 47.67, 5485.20, 1344.71, 60.00, 0.94
2023/7/17 (Lunes) 10:35:0, 123.20, 41.02, 4762.50, 1345.14, 60.00, 0.94
2023/7/17 (Lunes) 10:40:0, 123.80, 41.39, 4828.10, 1345.56, 60.00, 0.94
2023/7/17 (Lunes) 10:45:0, 122.10, 44.96, 5164.40, 1346.00, 59.90, 0.94
2023/7/17 (Lunes) 10:50:0, 121.70, 46.26, 5276.10, 1346.44, 60.00, 0.94
2023/7/17 (Lunes) 10:55:0, 122.00, 41.75, 4790.70, 1346.87, 59.90, 0.94
2023/7/17 (Lunes) 11:0:0, 121.80, 43.16, 4962.90, 1347.28, 60.00, 0.94
2023/7/17 (Lunes) 11:5:0, 121.50, 42.30, 4828.20, 1347.69, 59.90, 0.94
2023/7/17 (Lunes) 11:10:0, 121.10, 44.21, 5041.30, 1348.11, 59.90, 0.94
2023/7/17 (Lunes) 11:15:0, 119.30, 53.60, 6123.80, 1348.55, 60.00, 0.96
2023/7/17 (Lunes) 11:20:0, 119.80, 42.39, 4764.00, 1349.00, 60.00, 0.94
2023/7/17 (Lunes) 11:25:0, 119.00, 43.77, 4835.10, 1349.42, 60.00, 0.93
2023/7/17 (Lunes) 11:30:0, 121.00, 43.12, 4945.30, 1349.85, 60.00, 0.95
2023/7/17 (Lunes) 11:35:0, 119.50, 52.28, 6023.40, 1350.30, 60.00, 0.96
2023/7/17 (Lunes) 11:40:0, 119.00, 46.81, 5357.70, 1350.71, 59.90, 0.96
2023/7/17 (Lunes) 11:45:0, 119.70, 38.24, 4241.00, 1351.10, 59.90, 0.93
2023/7/17 (Lunes) 11:50:0, 119.60, 39.72, 4286.10, 1351.46, 60.00, 0.90
2023/7/17 (Lunes) 11:55:0, 120.80, 34.44, 3752.60, 1351.78, 60.00, 0.90
2023/7/17 (Lunes) 12:0:0, 119.10, 36.62, 3972.30, 1352.11, 60.00, 0.91
2023/7/17 (Lunes) 12:5:0, 122.20, 35.38, 3920.10, 1352.43, 60.00, 0.91
2023/7/17 (Lunes) 12:10:0, 123.00, 35.95, 4137.10, 1352.76, 59.90, 0.94
2023/7/17 (Lunes) 12:15:0, 123.40, 40.37, 4617.30, 1353.14, 60.00, 0.93
2023/7/17 (Lunes) 12:20:0, 123.50, 40.67, 4632.60, 1353.51, 59.90, 0.92
2023/7/17 (Lunes) 12:25:0, 122.70, 38.42, 4398.00, 1353.89, 59.90, 0.93
2023/7/17 (Lunes) 12:30:0, 122.80, 40.97, 4740.20, 1354.29, 60.00, 0.94
2023/7/17 (Lunes) 12:35:0, 122.50, 40.70, 4622.20, 1354.69, 60.00, 0.93
2023/7/17 (Lunes) 12:40:0, 122.00, 43.79, 4985.40, 1355.10, 60.00, 0.93
2023/7/17 (Lunes) 12:45:0, 121.80, 48.55, 5627.30, 1355.57, 60.00, 0.95
2023/7/17 (Lunes) 12:50:0, 121.70, 43.28, 4945.80, 1356.01, 59.90, 0.94
2023/7/17 (Lunes) 12:55:0, 121.60, 43.42, 5007.50, 1356.43, 60.00, 0.95
2023/7/17 (Lunes) 13:0:0, 121.00, 51.29, 5941.30, 1356.86, 60.00, 0.96
2023/7/17 (Lunes) 13:5:0, 120.70, 50.57, 5828.50, 1357.34, 60.00, 0.95
2023/7/17 (Lunes) 13:10:0, 120.90, 44.28, 5075.90, 1357.80, 60.00, 0.95
2023/7/17 (Lunes) 13:15:0, 120.20, 44.84, 5105.00, 1358.24, 60.00, 0.95
2023/7/17 (Lunes) 13:20:0, 121.40, 42.35, 4825.90, 1358.67, 60.00, 0.94
2023/7/17 (Lunes) 13:25:0, 120.20, 44.34, 5028.70, 1359.08, 59.90, 0.94
2023/7/17 (Lunes) 13:30:0, 121.20, 43.15, 4946.10, 1359.50, 60.00, 0.95
2023/7/17 (Lunes) 13:35:0, 121.30, 43.13, 4947.40, 1359.92, 60.00, 0.95
2023/7/17 (Lunes) 13:40:0, 121.00, 41.85, 4787.40, 1360.33, 60.00, 0.95
2023/7/17 (Lunes) 13:45:0, 121.10, 40.56, 4635.90, 1360.73, 59.90, 0.94
2023/7/17 (Lunes) 13:50:0, 121.40, 43.34, 5036.10, 1361.13, 60.00, 0.96
2023/7/17 (Lunes) 14:0:0, 123.00, 36.55, 4266.60, 1361.85, 60.00, 0.95
2023/7/17 (Lunes) 14:5:0, 122.30, 40.46, 4636.50, 1362.23, 60.00, 0.94
2023/7/17 (Lunes) 14:10:0, 122.90, 39.51, 4585.20, 1362.60, 59.90, 0.94
2023/7/17 (Lunes) 14:15:0, 124.20, 35.48, 4127.10, 1362.96, 59.90, 0.94
2023/7/17 (Lunes) 14:20:0, 123.20, 38.78, 4493.80, 1363.32, 60.00, 0.94
2023/7/17 (Lunes) 14:30:0, 123.30, 36.89, 4266.80, 1364.06, 60.00, 0.94
2023/7/17 (Lunes) 14:35:0, 123.80, 36.39, 4236.80, 1364.41, 60.00, 0.94
2023/7/17 (Lunes) 14:40:0, 122.70, 35.31, 4081.20, 1364.75, 60.00, 0.94
2023/7/17 (Lunes) 14:45:0, 124.20, 27.68, 3179.10, 1365.07, 60.00, 0.92
2023/7/17 (Lunes) 14:50:0, 123.30, 31.41, 3606.70, 1365.35, 60.00, 0.93
