Fecha, Voltaje, Corriente, Potencia, Energía, Frecuencia, Factor de Potencia 
2023/6/20 (Martes) 17:55:0, 126.10, 37.60, 4337.50, 30.95, 60.00, 0.91
2023/6/20 (Martes) 18:0:0, 126.30, 37.76, 4364.70, 31.33, 59.90, 0.92
2023/6/20 (Martes) 18:5:0, 126.10, 38.95, 4514.70, 31.73, 60.00, 0.92
2023/6/20 (Martes) 18:10:0, 126.50, 39.08, 4549.30, 32.07, 60.00, 0.92
2023/6/20 (Martes) 18:15:0, 127.20, 33.19, 3851.70, 32.41, 59.90, 0.91
2023/6/20 (Martes) 18:20:0, 126.90, 34.12, 4078.50, 32.75, 60.00, 0.94
2023/6/20 (Martes) 18:25:0, 124.50, 34.51, 3935.80, 33.07, 60.00, 0.92
2023/6/20 (Martes) 18:30:0, 124.90, 32.83, 3740.60, 33.38, 60.00, 0.91
2023/6/20 (Martes) 18:35:0, 125.00, 31.53, 3578.80, 33.71, 59.90, 0.91
2023/6/20 (Martes) 18:40:0, 125.50, 31.55, 3597.70, 34.01, 59.80, 0.91
2023/6/20 (Martes) 18:45:0, 125.90, 29.67, 3408.30, 34.30, 59.90, 0.91
2023/6/20 (Martes) 18:55:0, 125.80, 25.02, 2886.70, 34.86, 60.00, 0.92
2023/6/20 (Martes) 19:0:0, 125.80, 17.00, 1933.00, 35.05, 59.90, 0.90
2023/6/20 (Martes) 19:5:0, 126.20, 14.07, 1562.10, 35.21, 59.90, 0.88
2023/6/20 (Martes) 19:10:0, 126.30, 12.37, 1377.80, 35.33, 60.00, 0.88
2023/6/20 (Martes) 19:15:0, 126.50, 14.79, 1610.20, 35.44, 59.90, 0.86
2023/6/20 (Martes) 19:20:0, 126.60, 13.25, 1364.10, 35.57, 59.90, 0.81
2023/6/20 (Martes) 19:25:0, 126.50, 11.09, 1235.80, 35.68, 60.00, 0.88
2023/6/20 (Martes) 19:30:0, 126.90, 11.45, 1269.10, 35.78, 60.00, 0.87
2023/6/20 (Martes) 19:35:0, 126.90, 12.09, 1321.00, 35.91, 60.00, 0.86
2023/6/20 (Martes) 19:40:0, 126.80, 12.33, 1340.20, 36.02, 60.00, 0.86
2023/6/20 (Martes) 19:45:0, 126.90, 11.27, 1254.60, 36.13, 60.00, 0.88
2023/6/20 (Martes) 19:50:0, 127.40, 13.48, 1456.20, 36.26, 60.00, 0.85
